	mac_name	address	address2	score	latitude	longitude
81	맥도날드 목포남악DT점	전남 무안군 삼향읍 남악3로 58	(지번) 삼향읍 남악리 2148	1.0	34.81084310000001	126.4604118
82	맥도날드 울산삼산로DT점	울산 남구 삼산로 230	(지번) 달동 1253-1	1.9	35.5375769	129.3307588
83	맥도날드 김해삼계DT점	경남 김해시 가야로 167	(지번) 삼계동 1460-5	2.6	35.2497048	128.8794578
84	맥도날드 울산옥동	울산 남구 문수로423번길 2	(지번) 신정동 1639-36	2.8	35.5350607	129.30105749999998
85	맥도날드 사천DT점	경남 사천시 사천읍 사천대로 1838	(지번) 사천읍 수석리 320-11	2.6	35.0804781	128.083502
86	맥도날드 목포하당DT점	전남 목포시 통일대로 88	(지번) 상동 1126-1	2.3	34.800431	126.433771
87	맥도날드 진해자은DT	경남 창원시 진해구 진해대로 950	(지번) 자은동 808-2	3.7	35.127979100000005	128.74492279999998
88	맥도날드 부산구서DT점	부산 금정구 중앙대로 1957	(지번) 구서동 163-2	3.3	35.25909229999999	129.0910017
89	맥도날드 부산덕천DT점	부산 북구 금곡대로 107	(지번) 덕천동 554-1	3.0	35.2192681	129.0063714
90	맥도날드 여수학동DT	전남 여수시 망마로 9	(지번) 학동 82-3	2.2	34.7610016	127.6644596
91	맥도날드 부산명지DT점	부산 강서구 명지국제8로 272	(지번) 명지동 3420-8	3.3	35.0974162	128.9224885
92	맥도날드 웅상DT	경남 양산시 웅상대로 1259	(지번) 삼호동 1016-9	3.3	35.4104151	129.1646376
93	맥도날드 부산범전DT점	부산 부산진구 중앙대로 823	(지번) 범전동 383-25	2.6	35.158733500000004	129.063596
94	맥도날드 부산구남DT점	부산 북구 백양대로 1045	(지번) 구포동 920-16	3.3	35.198924100000006	128.9959879
95	맥도날드 부산온천SK DT점	부산 동래구 충렬대로 121	(지번) 온천동 1431-4	3.1	35.1991186	129.0967278
96	맥도날드 부산정관DT점	부산 기장군 정관읍 정관로 584	(지번) 정관읍 매학리 720-3	2.6	35.3357294	129.1791946
97	맥도날드 부산초량DT점	부산 동구 초량동 1198-7		4.4	35.1172229	129.0413445
