	mac_name	address	address2	score	link
112	스타벅스 청주율량DT	충북 청주시 청원구 충청대로107번길 8	(지번) 율량동 1068	4.6	https://place.map.kakao.com/27178534#review
113	스타벅스 서산예천DT점	충남 서산시 나무장1길 22	(지번) 예천동 696-7	3.7	https://place.map.kakao.com/2122330517#review
114	스타벅스 청주봉명DT점	충북 청주시 흥덕구 1순환로 514	(지번) 봉명동 1404	4.8	https://place.map.kakao.com/279004379#review
115	스타벅스 충주시청DT점	충북 충주시 국원대로 208-1	(지번) 금릉동 714	3.3	https://place.map.kakao.com/1492913312#review
116	스타벅스 원주반곡DT점	강원 원주시 동부순환로 37	(지번) 반곡동 1141	3.7	https://place.map.kakao.com/2054859785#review
117	스타벅스 청주용담DT점	충북 청주시 상당구 산성로 129	(지번) 용담동 324-35	3.3	https://place.map.kakao.com/244558049#review
118	스타벅스 청주사직DT점	충북 청주시 서원구 사직대로 302	(지번) 사직동 125	4.6	https://place.map.kakao.com/890582670#review
119	스타벅스 청주용암DT점	충북 청주시 상당구 1순환로 1243	(지번) 용암동 1693	3.7	https://place.map.kakao.com/411587510#review
120	스타벅스 충주호암DT점	충북 충주시 중원대로 3245	(지번) 호암동 653-2	5.0	https://place.map.kakao.com/78463332#review
121	스타벅스 세종다정DT점	세종특별자치시 다정북로 223	(지번) 다정동 363-85	2.1	https://place.map.kakao.com/1852017171#review
122	스타벅스 제천DT점	충북 제천시 의림대로 181	(지번) 중앙로2가 68-3	3.7	https://place.map.kakao.com/1537325586#review
123	스타벅스 청주비하DT점	충북 청주시 흥덕구 2순환로 1078	(지번) 비하동 671-11	3.0	https://place.map.kakao.com/420425854#review
124	스타벅스 대전신탄진DT	대전 대덕구 대덕대로 1544	(지번) 석봉동 309-10	3.9	https://place.map.kakao.com/577886870#review
125	스타벅스 춘천퇴계DT점(20년10월예정)	강원 춘천시 퇴계동 산 55-3		5.0	https://place.map.kakao.com/328434928#review
126	스타벅스 대전도안DT점	대전 유성구 도안대로 573	(지번) 봉명동 555-3	3.2	https://place.map.kakao.com/1381547143#review
127	스타벅스 대전한남대DT점	대전 대덕구 한밭대로 1122	(지번) 중리동 231-10	3.4	https://place.map.kakao.com/1714770622#review
128	스타벅스 대전수침교DT점	대전 서구 계룡로 692 1층, 2층	(지번) 용문동 250-3	3.8	https://place.map.kakao.com/26849462#review
129	스타벅스 공주동학사DT점	충남 공주시 반포면 동학사1로 114	(지번) 반포면 학봉리 436-1	3.5	https://place.map.kakao.com/1250794448#review
130	스타벅스 대전ICDT점	대전 대덕구 동서대로 1776	(지번) 비래동 555-15	4.2	https://place.map.kakao.com/27299361#review
131	스타벅스 대전유천DT	대전 중구 계백로 1604	(지번) 유천동 185-3	2.9	https://place.map.kakao.com/27398421#review
132	스타벅스 계룡대로DT점	충남 계룡시 엄사면 번영로 6	(지번) 엄사면 엄사리 284	3.4	https://place.map.kakao.com/887980713#review
133	스타벅스 충남보령DT점	충남 보령시 대해로 101	(지번) 궁촌동 133-1	3.3	https://place.map.kakao.com/1142678268#review
134	스타벅스 대전대사DT점	대전 중구 계룡로 951	(지번) 대사동 248-296	1.8	https://place.map.kakao.com/680116435#review
135	스타벅스 대전가수원DT	대전 서구 계백로 1128	(지번) 가수원동 655-20	4.4	https://place.map.kakao.com/894465195#review
136	스타벅스 대전판암DT점	대전 동구 옥천로 118	(지번) 판암동 450	4.0	https://place.map.kakao.com/906355272#review
137	스타벅스 대전터미널DT점	대전 동구 동서대로 1658	(지번) 성남동 502-2	4.3	https://place.map.kakao.com/175523988#review
138	스타벅스 속초DT점	강원 속초시 동해대로 4114	(지번) 조양동 1002-39	3.5	https://place.map.kakao.com/27272499#review
